free_spaces_number;updated_at;parking_id;fecha;hora
523;2021-11-04 18:42:24.443000;Nuestra Señora del Recuerdo;2021-11-04;18:42:24
252;2021-11-04 18:42:30.983000;Avenida de Portugal;2021-11-04;18:42:30
187;2021-11-04 18:42:15.013000;Almagro;2021-11-04;18:42:15
81;2021-11-04 18:42:11.843000;Jacinto Benavente;2021-11-04;18:42:11
83;2021-11-04 18:42:27.820000;Orense;2021-11-04;18:42:27
275;2021-11-04 18:42:23.113000;Marqués de Salamanca;2021-11-04;18:42:23
48;2021-11-04 18:42:17.300000;Fuencarral;2021-11-04;18:42:17
125;2021-11-04 18:42:29.873000;Montalbán;2021-11-04;18:42:29
200;2021-11-04 18:42:16.170000;Olavide;2021-11-04;18:42:16
337;2021-11-04 18:42:28.823000;Plaza de España;2021-11-04;18:42:28
238;2021-11-04 18:42:26.490000;Plaza Mayor;2021-11-04;18:42:26
23;2021-11-04 18:42:13.980000;Villa de París;2021-11-04;18:42:13
0;2021-11-04 18:42:12.850000;Pedro Zerolo;2021-11-04;18:42:12
68;2021-11-04 18:42:19.210000;Mercado de la Cebada;2021-11-04;18:42:19
523;2021-11-04 18:43:13.997000;Nuestra Señora del Recuerdo;2021-11-04;18:43:13
252;2021-11-04 18:43:20.770000;Avenida de Portugal;2021-11-04;18:43:20
187;2021-11-04 18:43:05.550000;Almagro;2021-11-04;18:43:05
82;2021-11-04 18:43:02.357000;Jacinto Benavente;2021-11-04;18:43:02
83;2021-11-04 18:43:17.363000;Orense;2021-11-04;18:43:17
278;2021-11-04 18:43:13.010000;Marqués de Salamanca;2021-11-04;18:43:13
47;2021-11-04 18:43:07.507000;Fuencarral;2021-11-04;18:43:07
126;2021-11-04 18:43:19.863000;Montalbán;2021-11-04;18:43:19
200;2021-11-04 18:43:06.527000;Olavide;2021-11-04;18:43:06
337;2021-11-04 18:43:18.770000;Plaza de España;2021-11-04;18:43:18
239;2021-11-04 18:43:16.250000;Plaza Mayor;2021-11-04;18:43:16
23;2021-11-04 18:43:04.483000;Villa de París;2021-11-04;18:43:04
0;2021-11-04 18:43:03.470000;Pedro Zerolo;2021-11-04;18:43:03
69;2021-11-04 18:43:19.350000;Mercado de la Cebada;2021-11-04;18:43:19
524;2021-11-04 18:44:04.467000;Nuestra Señora del Recuerdo;2021-11-04;18:44:04
252;2021-11-04 18:44:11.560000;Avenida de Portugal;2021-11-04;18:44:11
188;2021-11-04 18:44:46.390000;Almagro;2021-11-04;18:44:46
81;2021-11-04 18:44:42.763000;Jacinto Benavente;2021-11-04;18:44:42
